2,0,1000,1,GDOP, 1224460800.0
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
0,4063553.7899,-255360.4539,4893080.1862,-4.9961,7.3990,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008227532,-0.06275913044,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063553.7899,-255360.4539,4893080.1862,-4.9961,7.3990,4.5049,0.000,0.000,0.000,0.88008227532,-0.06275913044,50.0000,2.124
1000,4063548.7938,-255353.0549,4893084.6911,-4.9961,7.3990,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008338477,-0.06275739374,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063548.7938,-255353.0549,4893084.6911,-4.9961,7.3990,4.5049,0.000,0.000,0.000,0.88008338477,-0.06275739374,50.0000,2.124
2000,4063543.7976,-255345.6559,4893089.1959,-4.9961,7.3990,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008449422,-0.06275565705,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063543.7976,-255345.6559,4893089.1959,-4.9961,7.3990,4.5049,0.000,0.000,0.000,0.88008449422,-0.06275565705,50.0000,2.124
3000,4063538.8015,-255338.2570,4893093.7008,-4.9962,7.3990,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008560368,-0.06275392035,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063538.8015,-255338.2570,4893093.7008,-4.9962,7.3990,4.5049,0.000,0.000,0.000,0.88008560368,-0.06275392035,50.0000,2.124
4000,4063533.8053,-255330.8580,4893098.2057,-4.9962,7.3989,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008671313,-0.06275218365,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063533.8053,-255330.8580,4893098.2057,-4.9962,7.3989,4.5049,0.000,0.000,0.000,0.88008671313,-0.06275218365,50.0000,2.124
5000,4063528.8091,-255323.4591,4893102.7106,-4.9962,7.3989,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008782258,-0.06275044694,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063528.8091,-255323.4591,4893102.7106,-4.9962,7.3989,4.5049,0.000,0.000,0.000,0.88008782258,-0.06275044694,50.0000,2.124
6000,4063523.8129,-255316.0601,4893107.2154,-4.9962,7.3989,4.5049,0.000,0.000,0.000,0.000,0.000,0.000,0.88008893203,-0.06274871024,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063523.8129,-255316.0601,4893107.2154,-4.9962,7.3989,4.5049,0.000,0.000,0.000,0.88008893203,-0.06274871024,50.0000,2.123
7000,4063518.8167,-255308.6612,4893111.7203,-4.9962,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009004149,-0.06274697353,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063518.8167,-255308.6612,4893111.7203,-4.9962,7.3989,4.5048,0.000,0.000,0.000,0.88009004149,-0.06274697353,50.0000,2.123
8000,4063513.8205,-255301.2623,4893116.2251,-4.9962,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009115094,-0.06274523682,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063513.8205,-255301.2623,4893116.2251,-4.9962,7.3989,4.5048,0.000,0.000,0.000,0.88009115094,-0.06274523682,50.0000,2.123
9000,4063508.8242,-255293.8634,4893120.7300,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.000,0.000,0.000,0.88009226039,-0.06274350011,50.0000,0.785398000,0.000000000,0.000000000,0.000000,-0.000002,-0.000001,0.0000,0.0000,0.0000,4063508.8242,-255293.8634,4893120.7300,-4.9963,7.3989,4.5048,0.000,0.000,0.000,0.88009226039,-0.06274350011,50.0000,2.123
